Date,Label_No,Label,Motor,WATT,AMP,AbsMax,AbsMean,P2P,RMS,Skewness,Kurtosis,Crest,Shape,Impulse,1x,2x,3x,4x,1xB,2xB,3xB,4xB
2020-11-25 14:01:00,0.0,정상,L-CAHU-03R,11.0,22.0,0.0541163757,0.0114823341825083,0.0923948696999999,0.0140533004341536,-0.1425633378283789,2.606448405659621,6.5746028936699705,1.2239062381202772,4.713011730875977,0.0215895445938459,0.0028319695274515,0.0007471313086719,0.000475707460579,0.0008143745018201,0.0004053424016974,0.0003703644068117,0.0002780365631222
2020-11-25 14:05:06,0.0,정상,L-CAHU-03R,11.0,22.0,0.0514352918,0.01164882538555,0.088862896,0.0142954008378193,-0.1290781988357347,2.5386905206241765,6.216187780122116,1.227196765740203,4.415491699601219,0.0217015743093952,0.0027571108326153,0.0006740417549102,0.0006736570954431,0.0009929704265564,0.0004071742269145,0.0002580393890443,0.0002240678577712
2020-11-25 14:06:12,0.0,정상,L-CAHU-03R,11.0,22.0,0.0461295396,0.0126193066056833,0.0852205789999999,0.0152758594031646,-0.1449334382714147,2.386880207214996,5.578774768138111,1.2105149577937069,3.6554733981362113,0.0211615641964107,0.002807837947372,0.0009384337240249,0.0004201149416128,0.0005074329056917,0.0003953379860176,0.0002170448874063,0.000176403869627
2020-11-25 14:06:24,0.0,정상,L-CAHU-03R,11.0,22.0,0.0534973592,0.0115053605031333,0.0935811065999999,0.0140591871206734,-0.124686982883795,2.511421095464813,6.656224559554564,1.2219684134925315,4.649776874477832,0.0218196554987355,0.0022459539846632,0.0007647461275247,0.0005830080647209,0.0009605373112864,0.0006138618972739,0.0002756485905074,0.0003465495294749
2020-11-25 14:07:03,0.0,정상,L-PAHU-02S,37.0,71.1,0.0736712068,0.01450427403345,0.1236450821,0.0177629171031304,-0.1801515050437037,2.612526257958665,6.960854536567626,1.2246677815218654,5.079275710738657,0.0002678954855861,0.0022766162651634,0.0002154812224208,0.0008512481879021,0.0004415243359692,0.0007742218659446,0.0001153277924873,0.0004964818378531
2020-11-25 14:09:15,0.0,정상,L-CAHU-03R,11.0,22.0,0.0521416254,0.0122203992286916,0.0951127708,0.0148298644756451,-0.1646268736419139,2.432149320739604,6.413596763220759,1.2135335514102363,4.266769393063631,0.0216567994521208,0.0027354578066478,0.0007267115064287,0.0004994876907059,0.0007474552124731,0.0004594678776383,0.0002704642796723,0.0001589982175414
2020-11-25 14:10:15,0.0,정상,L-CAHU-03R,11.0,22.0,0.0500899367,0.011832022251525,0.0887428485,0.0143811422947925,-0.1293269693032256,2.50155097113113,6.170778835290031,1.2154424652927756,4.233421441845584,0.0216491710181161,0.0024461855746931,0.0009591577435746,0.0005510524042782,0.0009636145882713,0.0006116442916724,0.0003233655302174,0.0002081251948228
2020-11-25 14:10:51,0.0,정상,L-CAHU-03R,11.0,22.0,0.0473900475,0.011226472982575,0.0900955126,0.0138028805769863,-0.1369819768442896,2.588016643432907,6.52729784174305,1.2294939468887751,4.221276582017855,0.0215029427846652,0.00248392424202,0.0007688487975008,0.0007098024744785,0.0010453011167944,0.0004201935544792,0.0001687161906165,0.0003085149124
2020-11-25 14:11:06,0.0,정상,L-CAHU-03R,11.0,22.0,0.0479497984,0.011334282893975,0.0912383832,0.0138852472019997,-0.1054214141709361,2.557482980197891,6.570886486404048,1.225066228881653,4.230510112420859,0.0223672433477603,0.0018695886148047,0.0006344873773976,0.000785508753293,0.0005522298351871,0.0006048081014306,0.0002648366109499,0.0002378814920591
2020-11-25 14:11:36,0.0,정상,R-PAC-01R,3.75,7.7,0.0239982568,0.0052043048461166,0.0473756437,0.0065443027647313,-0.0358243378214859,3.004993609726204,7.239219425378315,1.257478752347594,4.611231953083409,0.0005508814787152,0.0003843569448206,0.0002258987647361,4.2496117264546e-05,0.0003591479504458,0.0004299898566954,0.0030642959453215,0.0002851576828482
2020-11-25 14:11:39,0.0,정상,L-CAHU-03R,11.0,22.0,0.0463106073,0.0117728421666833,0.0850729197,0.0143056770077047,-0.1089996524532331,2.4882553790165027,5.946794384787336,1.215142172566388,3.933681148895137,0.0211407595079462,0.0024158501539201,0.0007872786332321,0.0005804356270733,0.0007586528439023,0.0004872762451915,0.0003397196790138,0.000163529486929
2020-11-25 14:17:48,0.0,정상,L-PAHU-02S,37.0,71.1,0.0584146343,0.0146949981290416,0.1126566678,0.0178908531546746,-0.1500772818123777,2.531525858433012,6.296886281835265,1.2174791039487805,3.975137239694872,0.000706850130458,0.002472660434935,0.0008354314112315,0.0003692132927161,0.0004684638614725,0.0008012197732353,0.0001828321714346,0.0003781718660873
2020-11-25 14:19:27,0.0,정상,L-PAHU-02S,37.0,71.1,0.0602795891,0.0146500394574083,0.1198617033,0.0178522240670001,-0.138354637393221,2.5251648716995017,6.714104800060444,1.218578565532291,4.114636638027442,0.0003827480658158,0.002693978679912,0.0007149989848397,0.0004659386394431,0.0009697942265686,0.000530165845893,0.0001408565743822,0.0005754444404556
2020-11-25 14:20:45,0.0,정상,L-SF-02,5.5,11.1,0.0217651613,0.0039169803397249,0.0392857157,0.0049512710536392,-0.0499316434320089,3.177953878960532,7.934470820603629,1.2640530776794412,5.5566174482070725,0.0011163726379118,0.0003703130566059,6.495929815459258e-05,0.0014323616995797,8.479414261803553e-05,0.0008202195943835,0.0001068349603811,6.380550520317915e-05
